"","lipid_class","carbons_1","carbons_2","carbons_sum","unsat_1","unsat_2","unsat_sum"
"CE 12:0","CE",12,0,12,0,0,0
"CE 14:0","CE",14,0,14,0,0,0
"CE 14:1","CE",14,0,14,1,0,1
"CE 15:0","CE",15,0,15,0,0,0
"CE 16:0","CE",16,0,16,0,0,0
"CE 16:1","CE",16,0,16,1,0,1
"CE 17:0","CE",17,0,17,0,0,0
"CE 18:0","CE",18,0,18,0,0,0
"CE 18:1","CE",18,0,18,1,0,1
"CE 18:2","CE",18,0,18,2,0,2
"CE 18:3","CE",18,0,18,3,0,3
"CE 18:4","CE",18,0,18,4,0,4
"CE 20:0","CE",20,0,20,0,0,0
"CE 20:1","CE",20,0,20,1,0,1
"CE 20:2","CE",20,0,20,2,0,2
"CE 20:3","CE",20,0,20,3,0,3
"CE 20:4","CE",20,0,20,4,0,4
"CE 20:5","CE",20,0,20,5,0,5
"CE 22:0","CE",22,0,22,0,0,0
"CE 22:1","CE",22,0,22,1,0,1
"CE 22:2","CE",22,0,22,2,0,2
"CE 22:4","CE",22,0,22,4,0,4
"CE 22:5","CE",22,0,22,5,0,5
"CE 22:6","CE",22,0,22,6,0,6
"CE 24:0","CE",24,0,24,0,0,0
"CE 24:1","CE",24,0,24,1,0,1
"Cer d18:0/16:0","Cer",18,16,34,0,0,0
"Cer d18:0/22:0","Cer",18,22,40,0,0,0
"Cer d18:0/24:0","Cer",18,24,42,0,0,0
"Cer d18:0/24:1","Cer",18,24,42,0,1,1
"Cer d18:0/26:1","Cer",18,26,44,0,1,1
"Cer d18:1/14:0","Cer",18,14,32,1,0,1
"Cer d18:1/16:0","Cer",18,16,34,1,0,1
"Cer d18:1/18:0","Cer",18,18,36,1,0,1
"Cer d18:1/18:1","Cer",18,18,36,1,1,2
"Cer d18:1/20:0","Cer",18,20,38,1,0,1
"Cer d18:1/22:0","Cer",18,22,40,1,0,1
"Cer d18:1/22:1","Cer",18,22,40,1,1,2
"Cer d18:1/24:0","Cer",18,24,42,1,0,1
"Cer d18:1/24:1","Cer",18,24,42,1,1,2
"Cer d18:1/26:0","Cer",18,26,44,1,0,1
"Cer d18:1/26:1","Cer",18,26,44,1,1,2
"DG 12:0_16:0","DG",12,16,28,0,0,0
"DG 12:0_18:1","DG",12,18,30,0,1,1
"DG 14:0_14:0","DG",14,14,28,0,0,0
"DG 14:0_16:0","DG",14,16,30,0,0,0
"DG 14:0_16:1","DG",14,16,30,0,1,1
"DG 14:0_18:1","DG",14,18,32,0,1,1
"DG 14:0_18:2","DG",14,18,32,0,2,2
"DG 14:1_16:0","DG",14,16,30,1,0,1
"DG 14:1_18:1","DG",14,18,32,1,1,2
"DG 15:0_18:1","DG",15,18,33,0,1,1
"DG 16:0_16:0","DG",16,16,32,0,0,0
"DG 16:0_16:1","DG",16,16,32,0,1,1
"DG 16:0_18:0","DG",16,18,34,0,0,0
"DG 16:0_18:1","DG",16,18,34,0,1,1
"DG 16:0_18:2","DG",16,18,34,0,2,2
"DG 16:0_18:3","DG",16,18,34,0,3,3
"DG 16:0_20:3","DG",16,20,36,0,3,3
"DG 16:0_20:4","DG",16,20,36,0,4,4
"DG 16:0_20:5","DG",16,20,36,0,5,5
"DG 16:0_22:5","DG",16,22,38,0,5,5
"DG 16:0_22:6","DG",16,22,38,0,6,6
"DG 16:1_16:1","DG",16,16,32,1,1,2
"DG 16:1_18:0","DG",16,18,34,1,0,1
"DG 16:1_18:1","DG",16,18,34,1,1,2
"DG 16:1_18:2","DG",16,18,34,1,2,3
"DG 16:1_20:2","DG",16,20,36,1,2,3
"DG 16:1_20:4","DG",16,20,36,1,4,5
"DG 16:1_22:6","DG",16,22,38,1,6,7
"DG 18:0_18:1","DG",18,18,36,0,1,1
"DG 18:0_18:2","DG",18,18,36,0,2,2
"DG 18:0_22:6","DG",18,22,40,0,6,6
"DG 18:1_18:1","DG",18,18,36,1,1,2
"DG 18:1_18:2","DG",18,18,36,1,2,3
"DG 18:1_20:1","DG",18,20,38,1,1,2
"DG 18:1_20:2","DG",18,20,38,1,2,3
"DG 18:1_20:3","DG",18,20,38,1,3,4
"DG 18:1_20:4","DG",18,20,38,1,4,5
"DG 18:1_22:4","DG",18,22,40,1,4,5
"DG 18:1_22:5","DG",18,22,40,1,5,6
"DG 18:1_22:6","DG",18,22,40,1,6,7
"DG 20:0_20:0","DG",20,20,40,0,0,0
"FA 12:0","FA",12,0,12,0,0,0
"FA 14:0","FA",14,0,14,0,0,0
"FA 14:1","FA",14,0,14,1,0,1
"FA 16:0","FA",16,0,16,0,0,0
"FA 16:1","FA",16,0,16,1,0,1
"FA 18:0","FA",18,0,18,0,0,0
"FA 18:1","FA",18,0,18,1,0,1
"FA 18:2","FA",18,0,18,2,0,2
"FA 18:3","FA",18,0,18,3,0,3
"FA 18:4","FA",18,0,18,4,0,4
"FA 20:0","FA",20,0,20,0,0,0
"FA 20:1","FA",20,0,20,1,0,1
"FA 20:2","FA",20,0,20,2,0,2
"FA 20:3","FA",20,0,20,3,0,3
"FA 20:4","FA",20,0,20,4,0,4
"FA 22:0","FA",22,0,22,0,0,0
"FA 22:1","FA",22,0,22,1,0,1
"FA 22:2","FA",22,0,22,2,0,2
"FA 22:4","FA",22,0,22,4,0,4
"FA 22:5","FA",22,0,22,5,0,5
"FA 22:6","FA",22,0,22,6,0,6
"FA 24:0","FA",24,0,24,0,0,0
"FA 24:1","FA",24,0,24,1,0,1
"HexCER d18:1/14:0","HexCER",18,14,32,1,0,1
"HexCER d18:1/16:0","HexCER",18,16,34,1,0,1
"HexCER d18:1/18:0","HexCER",18,18,36,1,0,1
"HexCER d18:1/20:0","HexCER",18,20,38,1,0,1
"HexCER d18:1/22:0","HexCER",18,22,40,1,0,1
"HexCER d18:1/22:1","HexCER",18,22,40,1,1,2
"HexCER d18:1/24:0","HexCER",18,24,42,1,0,1
"HexCER d18:1/24:1","HexCER",18,24,42,1,1,2
"HexCER d18:1/26:0","HexCER",18,26,44,1,0,1
"HexCER d18:1/26:1","HexCER",18,26,44,1,1,2
"LacCER d18:1/16:0","LacCER",18,16,34,1,0,1
"LacCER d18:1/18:0","LacCER",18,18,36,1,0,1
"LacCER d18:1/22:0","LacCER",18,22,40,1,0,1
"LacCER d18:1/24:0","LacCER",18,24,42,1,0,1
"LacCER d18:1/24:1","LacCER",18,24,42,1,1,2
"LPC 16:0","LPC",16,0,16,0,0,0
"LPC 18:0","LPC",18,0,18,0,0,0
"LPC 18:1","LPC",18,0,18,1,0,1
"LPE 16:0","LPE",16,0,16,0,0,0
"LPE 18:0","LPE",18,0,18,0,0,0
"LPE 18:1","LPE",18,0,18,1,0,1
"PA 30:0","PA",30,0,30,0,0,0
"PA 32:0","PA",32,0,32,0,0,0
"PA 32:1","PA",32,0,32,1,0,1
"PA 32:2","PA",32,0,32,2,0,2
"PA 34:0","PA",34,0,34,0,0,0
